resume_text,job_role,experience_level
"seeking entry level position in data science.
    Skilled in numpy, scikit learn, tensorflow, data analysis, deep learning.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Fresher
"recent graduate with strong foundation in data science.
    Skilled in pandas, tensorflow, numpy, statistics, machine learning.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Fresher
"completed academic projects using data science.
    Skilled in pandas, tensorflow, scikit learn, deep learning, data analysis.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Fresher
"seeking entry level position in data science.
    Skilled in numpy, pandas, scikit learn, statistics, tensorflow.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Fresher
"seeking entry level position in data science.
    Skilled in data analysis, machine learning, statistics, python, tensorflow.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Fresher
"completed academic projects using data science.
    Skilled in python, tensorflow, scikit learn, statistics, pandas.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Fresher
"seeking entry level position in data science.
    Skilled in machine learning, scikit learn, pandas, statistics, data analysis.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Fresher
"seeking entry level position in data science.
    Skilled in scikit learn, pandas, numpy, data analysis, python.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Fresher
"recent graduate with strong foundation in data science.
    Skilled in deep learning, statistics, data analysis, numpy, tensorflow.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Fresher
"seeking entry level position in data science.
    Skilled in machine learning, numpy, deep learning, statistics, pandas.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Fresher
"seeking entry level position in data science.
    Skilled in tensorflow, python, numpy, scikit learn, pandas.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Fresher
"completed academic projects using data science.
    Skilled in machine learning, pandas, scikit learn, data analysis, numpy.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Fresher
"recent graduate with strong foundation in data science.
    Skilled in numpy, python, scikit learn, data analysis, tensorflow.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Fresher
"seeking entry level position in data science.
    Skilled in machine learning, python, data analysis, statistics, pandas.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Fresher
"recent graduate with strong foundation in data science.
    Skilled in numpy, python, tensorflow, deep learning, pandas.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Fresher
"seeking entry level position in data science.
    Skilled in deep learning, scikit learn, machine learning, python, pandas.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Fresher
"seeking entry level position in data science.
    Skilled in data analysis, python, pandas, scikit learn, statistics.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Fresher
"1 to 2 years of experience working with data science.
    Skilled in python, tensorflow, scikit learn, machine learning, data analysis.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Intermediate
"hands on experience with data science.
    Skilled in pandas, python, numpy, data analysis, machine learning.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Intermediate
"1 to 2 years of experience working with data science.
    Skilled in machine learning, python, data analysis, scikit learn, statistics.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Intermediate
"completed internship and worked on projects using data science.
    Skilled in statistics, data analysis, numpy, deep learning, pandas.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Intermediate
"completed internship and worked on projects using data science.
    Skilled in numpy, deep learning, machine learning, pandas, statistics.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Intermediate
"hands on experience with data science.
    Skilled in python, machine learning, statistics, deep learning, numpy.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Intermediate
"1 to 2 years of experience working with data science.
    Skilled in data analysis, machine learning, python, pandas, statistics.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Intermediate
"completed internship and worked on projects using data science.
    Skilled in machine learning, deep learning, statistics, numpy, python.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Intermediate
"1 to 2 years of experience working with data science.
    Skilled in statistics, deep learning, scikit learn, tensorflow, data analysis.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Intermediate
"completed internship and worked on projects using data science.
    Skilled in deep learning, python, scikit learn, machine learning, data analysis.
    Worked on real world projects and collaborated with teams.
    Strong problem solving and communication skills.",Data Science,Intermediate
